Incident Description,Risk Level
"Gunmen attacked Gaba community in Bwari Area Council, Abuja. One person was killed, and five people were abducted.",high
"Clearance operations by police at kidnappers' hideouts on the hills surrounding Zone A and B, Apo resettlement, Abuja",high
"Armed men attacked a lecturer’s office at the University of Maiduguri (UNIMAID), Maiduguri LGA, Borno State. The lecturer was stabbed and killed, and his vehicle and other valuables were stolen.",high
"Troops Operation of HADIN KAI engaged JAS insurgents in a firefight in Churchur village, Bama LGA, Borno State. At least three insurgents were killed, and two Dane guns were recovered.",high
"Ward attendants at the Federal Teaching Hospital Lokoja, Lokoja LGA, Kogi State, held a protest within the hospital premises over the death of one of their colleagues, who was taken ill, but was not provided care due to inadequate electricity at the hospital.",high
"GSF personnel supported by vigilantes conducted clearance operations and engaged gunmen in a firefight in Zurak Campani, Wase LGA, Plateau State. At least 18 gunmen were killed.",high
"Suspected kidnappers attempted to abduct passengers along the Nasarawa-Keffi Highway, Keffi LGA, Nasarawa State. GSF engaged the assailant in a firefight and one killed one of the kidnappers",high
"Protest in the Etobaba area of Jos North LGA, Plateau State, over the killing of a security guard by his employer, over the accusation of the theft of eggs at a poultry farm.",high
"Suspected herders attacked Butura Gida village in Bokkos LGA, Plateau State, and killed four vigilantes.",high
"Suspected herders attacked Tangur 1 and Wumat villages, Bokkos LGA, Plateau State. Four people including two pregnant women were killed.",high
"GSF personnel conducted clearance operations at a suspected kidnappers' hideout in Adamu village, Takum LGA, Taraba State. One abducted victim was rescued, and three kidnappers were arrested.",high
"Gunmen attempted to abduct church members returning from a program along the Tor–Tse-Takum Road, Wukari LGA, Taraba State. GSF personnel were deployed to the area and engaged the kidnappers in a firefight. At least five kidnappers were killed, and firearms were recovered.",high
"Gunmen attacked Adija village in Apa LGA, Benue State, and killed five people.",high
"A mob lynched a suspected motorcycle thief in Apalara community, Ilorin West LGA, Kwara State.",high
"Bandits attacked GSF personnel in Maganda village, Shiroro LGA, Niger state. At least six GSF personnel were injured, and a GSF armoured tanker was set on fire.",high
"There was a communal clash between Tiv and Jukun communities in Makurdi LGA, Benue State. Two people were killed, an unspecified number of people were injured, and houses were set on fire.",high
"Gunmen abducted two students of the Federal University Wukari (FUW) from their off-campus hostel along the Wukari-Katsina Ala Road, Wukari LGA, Taraba State.",high
Troops of 192 Battalion supported by CJTF members ambushed and engaged JAS insurgents in a firefight along the Pulka-Bokko Road in Gwoza LGA,high
"GSF personnel supported by CJTF members conducted clearance operations in Angwan Jingina and Bula Marwa, Bama LGA, Borno State. At least nine abducted victims were rescued.",high
"ISWAP insurgents attacked Gajiganna in Magumeri LGA, Borno State. GSF personnel were deployed to the area and engaged the insurgents in a firefight until they withdrew. An unspecified number of insurgents were killed.",high
"Three children were killed, and four others were injured while they were playing with a Dane gun in Didango Geita village, Karim-Lamido LGA, Taraba State.",high
"Gunmen mounted an Illegal Vehicle Check Point (IVCP) in the vicinity of Mayanci, along the Gusau-Sokoto Road, Talata Mafara LGA, Zamfara State",high
